img,price,url,logindex,title,subwaytag,taxfree,haskey,hstype,houseid,tag,id
http://image1.ljcdn.com/110000-inspection/2fc481c7-6207-465b-ac89-1b06756e6168.jpg.437x300.jpg," 245",http://bj.lianjia.com/ershoufang/101101113864.html,1," 石园西区 1室1厅 245万"," 房本满五年"," 随时看房",,,101101113864," 顺义城  / 1室1厅  / 56.8平米  / 南 北  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/4cd822c4-72d8-4789-b744-4bf4c391741f.JPG.437x300.jpg," 195",http://bj.lianjia.com/ershoufang/101101113722.html,2," 福城上上城五期 2室1厅 195万"," 房本满五年"," 随时看房"," 不限购",,101101113722," 燕郊城区  / 2室1厅  / 82.45平米  / 东 西 北  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/ea71a2cb-6d8d-450f-8326-ca2a15dfeb8c.jpg.437x300.jpg," 248",http://bj.lianjia.com/ershoufang/101101062870.html,3," 四合巷小区 2室1厅 248万"," 房本满五年"," 随时看房",,,101101062870," 良乡  / 2室1厅  / 80.8平米  / 南 北  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/5ef9f978-e4f2-4e2b-a05f-df39abd2d6f4.JPG.437x300.jpg," 215",http://bj.lianjia.com/ershoufang/101100803674.html,4," 精装小户型，面对小区，安静宜居"," 房本满五年"," 随时看房"," 不限购",,101100803674," 回龙观  / 1室1厅  / 57平米  / 东北  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/e0c76990-0748-4b20-b7f4-a23287fa4d32.JPG.437x300.jpg," 215",http://bj.lianjia.com/ershoufang/101101071235.html,5," 福城上上城五期 2室1厅 215万"," 房本满五年"," 随时看房",,,101101071235," 燕郊城区  / 2室1厅  / 78.51平米  / 南  / 简装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/33b475fb-485c-4177-9ae1-67ca8ff49df7.JPG.437x300.jpg," 246",http://bj.lianjia.com/ershoufang/101101035447.html,6," 福城上上城五期 2室1厅 246万"," 房本满五年"," 不限购",,,101101035447," 燕郊城区  / 2室1厅  / 88.02平米  / 东南  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/59d9d324-0ea8-4c61-8e45-52cebcf37db5.jpg.437x300.jpg," 232",http://bj.lianjia.com/ershoufang/101101097931.html,7," 矿建街268号院 1室1厅 232万"," 房本满五年",,,,101101097931," 门头沟其它  / 1室1厅  / 60.73平米  / 南  / 精装",
http://image1.ljcdn.com/110000-inspection/50bd9ee1-8fd3-45a6-89af-dcd4452b6850.jpg.437x300.jpg," 215",http://bj.lianjia.com/ershoufang/101101056223.html,8," 不限购，精装小开间，东向，出租快"," 距离5号线立水桥南站1069米"," 房本满五年"," 随时看房"," 不限购",101101056223," 北苑  / 1室0厅  / 49.51平米  / 东  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/54200549-bbee-4fcf-87ef-50a350a0af7b.JPG.437x300.jpg," 145",http://bj.lianjia.com/ershoufang/101101136782.html,9," 五期南向大开间 满五唯一 采光充足"," 房本满五年"," 随时看房"," 不限购",,101101136782," 燕郊城区  / 1室0厅  / 49.27平米  / 南  / 精装",
http://image1.ljcdn.com/110000-inspection/0418add9-3e06-40d8-8bbc-12409b70ff0c.JPG.437x300.jpg," 200",http://bj.lianjia.com/ershoufang/101101111501.html,10," 福城上上城五期 2室1厅 200万"," 房本满五年"," 随时看房"," 不限购",,101101111501," 燕郊城区  / 2室1厅  / 79.48平米  / 南 北  / 简装  / 有电梯",
